1;Российская Федерация;RU 
2;Азербайджанская Республика;AZ 
3;Республика Армения;AM 
4;Республика Беларусь;BY 
5;Республика Грузия;GE 
6;Республика Казахстан;KZ 
7;Республика Кыргызстан;KG 
8;Латвийская Республика;LV 
9;Литовская Республика;LT 
10;Республика Молдова;MD 
11;Республика Таджикистан;TJ 
12;Туркменистан;TM 
13;Республика Узбекистан;UZ 
14;Украина;UA 
15;Эстонская Республика;EE 
16;Шпицберген и Ян Майен (Норв.);SJ 
17;Лицо без гражданства;M  
18;Доминиканская республика;DO 
19;Королевство Испания;ES 
20;Государство Израиль;IL 
21;Турецкая Республика;TR 
22;Арабская Республика Египет;EG 
23;Объединенные Арабские Эмираты;AE 
24;Республика Куба;CU 
25;Австралия;AU 
26;Федеративная Республика Германия;DE 
27;Французская Республика;FR 
28;Итальянская Республика;IT 
29;Швейцарская Конфедерация;CH 
30;Чешская Республика;CZ 
31;Херд и Макдональд (Австрал.);HM 
32;Французские Южные Территории (Фр.);TF 
33;Французская Полинезия (Фр.);PF 
34;Фолклендские (Мальвинские) Острова;FK 
35;Финляндская Республика;FI 
36;Федерация Сент - Китс и Невис;KN 
37;Федеративные штаты Микронезии;FM 
38;Федеративная Республика Нигерия;NG 
39;Федеративная Республика Бразилия;BR 
40;Федеративная Демократическая Республика Эфиопия;ET 
41;Федеральная Исламская Республика Коморские Острова;KM 
42;Фарерские Острова (Дат.);FO 
43;Тунисская Республика;TN 
44;Токелау (Юнион) (Н. Зел.);TK 
45;Тоголезская Республика;TG 
46;Теркс и Кайкос (Брит.);TC 
47;Тайвань (в составе Китая);TW 
48;Сянган (Гонконг) Брит.;HK 
49;Султанат Оман;OM 
50;Союзная Республика Югославия;YU 
51;Союз Мьянма;MM 
52;Социалистическая Республика Вьетнам;VN 
53;Социалистическая Народная Ливийская Арабская Джамахирия;LY 
54;Сомалийская Демократическая Республика;SO 
55;Соединенные Штаты Америки;US 
56;Соединенное Королевство Великобритании и Северной Ирландии;GB 
57;Содружество Северных Марианских Островов (США);MP 
58;Содружество Пуэрто - Рико (США);PR 
59;Содружество Доминики;DM 
60;Содружество Багамских островов;BS 
61;Словацкая Республика;SK 
62;Сирийская Арабская Республика;SY 
63;Сень - Пьер и Микелон (Фр.);PM 
64;Руандийская Республика;RW 
65;Реюньон (Фр.);RE 
66;Республика Эль - Сальвадор;SV 
67;Республика Экваториальная Гвинея;GQ 
68;Республика Эквадор;EC 
69;Республика Чили;CL 
70;Республика Чад;TD 
71;Республика Хорватия;HR 
72;Республика Филиппины;PH 
73;Республика Фиджи;FJ 
74;Республика Уганда;UG 
75;Республика Тринидад и Тобаго;TT 
76;Республика Сьерра - Леоне;SL 
77;Республика Суринам;SR 
78;Республика Судан;SD 
79;Республика Словения;SI 
80;Республика Сербия;RS 
81;Республика Сербия и Черногория (до 09.2006);CS 
82;Республика Черногория;ME 
83;Республика Сингапур;SG 
84;Республика Сенегал;SN 
85;Республика Сейшельские острова;SC 
86;Республика Сан - Марино;SM 
87;Республика Румыния;RO 
88;Республика Перу;PE 
89;Республика Парагвай;PY 
90;Республика Панама;PA 
91;Республика Палау (Белау);PW 
92;Республика Никарагуа;NI 
93;Республика Нигер;NE 
94;Республика Науру;NR 
95;Республика Намибия;NA 
96;Республика Мозамбик;MZ 
97;Республика Маршалловых Островов;MH 
98;Республика Мальта;MT 
99;Республика Мали;ML 
100;Республика Малави;MW 
101;Республика Македония;MK 
102;Республика Мадагаскар;MG 
103;Республика Маврикий;MU 
104;Республика Либерия;LR 
105;Республика Кот - д'Ивуар;CI 
106;Республика Коста - Рика;CR 
107;Республика Корея;KR 
108;Республика Конго;CG 
109;Республика Колумбия;CO 
110;Республика Кипр;CY 
111;Республика Кения;KE 
112;Республика Камерун;CM 
113;Республика Кабо - Верде;CV 
114;Республика Йемен;YE 
115;Республика Исландия;IS 
116;Республика Индонезия;ID 
117;Республика Индия;IN 
118;Республика Зимбабве;ZW 
119;Республика Замбия;ZM 
120;Республика Заир;ZR 
121;Республика Джибути;DJ 
122;Республика Гондурас;HN 
123;Республика Гвинея - Бисау;GW 
124;Республика Гватемала;GT 
125;Республика Гана;GH 
126;Республика Гамбия;GM 
127;Республика Гайана;GY 
128;Республика Гаити;HT 
129;Республика Венесуэла;VE 
130;Республика Вануату;VU 
131;Республика Бурунди;BI 
132;Республика Ботсвана;BW 
133;Республика Боливия;BO 
134;Республика Болгария;BG 
135;Республика Ангола;AO 
136;Республика Албания;AL 
137;Португальская Республика;PT 
138;Польская Республика;PL 
139;Питкэрн (Брит.);PN 
140;Острова Уоллис и Футуна;WF 
141;Острова Кука (Н. Зел.);CK 
142;Острова Кайман;KY 
143;Остров Святой Елены (Брит.);SH 
144;Остров Рождества (Австрал.);CX 
145;Остров Буве;BV 
146;Объединенная Республика Танзания;TZ 
147;Норфолк (Австрал.);NF 
148;Новая Каледония (Фр.);NC 
149;Ниуэ (Н. Зел.);NU 
150;Нидерландские Антильские Острова;AN 
151;Независимое Государство Папуа - Новая Гвинея;PG 
152;Независимое государство Западное Самоа;WS 
153;Народная Республика Бенин;BJ 
154;Народная Республика Бангладеш;BD 
155;Монтсеррат (Брит.);MS 
156;Мексиканские Соединенные Штаты;MX 
157;Мартиника (Фр.);MQ 
158;Мальдивская Республика;MV 
159;Малые Тихоокеанские Отдаленные Острова (США);UM 
160;Ливанская Республика;LB 
161;Лаосская Народно - Демократическая Республика;LA 
162;Королевство Швеция;SE 
163;Королевство Тонга;TO 
164;Королевство Таиланд;TH 
165;Королевство Свазиленд;SZ 
166;Свальбард и Ян Майен;SJ 
167;Королевство Саудовская Аравия;SA 
168;Королевство Норвегии;NO 
169;Королевство Нидерландов;NL 
170;Королевство Непал;NP 
171;Королевство Марокко;MA 
172;Королевство Лесото;LS 
173;Королевство Камбоджа;KH 
174;Королевство Дания;DK 
175;Королевство Бутан;BT 
176;Королевство Бельгия;BE 
177;Корейская Народно - Демократическая Республика;KP 
178;Кокосовые (Килинг) Острова (в составе Австралии);CC 
179;Княжество Монако;MC 
180;Княжество Лихтенштейн;LI 
181;Княжество Андорра;AD 
182;Китайская Народная Республика;CN 
183;Исламское Государство Афганистан;AF 
184;Исламская Республика Пакистан;PK 
185;Исламская Республика Мавритания;MR 
186;Исламская Республика Иран;IR 
187;Иракская Республика;IQ 
188;Иорданское Хашимитское Королевство;JO 
189;Демократическая Социалистическая Республика Шри - Ланка;LK 
190;Демократическая Республика Сан - Томе и Принсипи;ST 
191;Гуам (США);GU 
192;Греческая Республика;GR 
193;Гренландия (Дат.);GL 
194;Государство Эритрея;ER 
195;Государство Кувейт;KW 
196;Государство Катар;QA 
197;Государство Бруней - Даруссалам;BN 
198;Государство - Город Ватикан;VA 
199;Гибралтар (Брит.);GI 
200;Гвинейская Республика;GN 
201;Гвиана (Фр.);GF 
202;Гваделупа (Фр.);GP 
203;Габонская Республика;GA 
204;Восточная Республика Уругвай;UY 
205;Виргинские острова Соединенных Штатов Америки;VI 
206;Венгерская Республика;HU 
207;Великое Герцогство Люксембург;LU 
208;Британские Виргинские Острова;VG 
209;Бермудские Острова;BM 
210;Аргентинская Республика;AR 
211;Аомынь;MO 
212;Ангилья (Брит.);AI 
213;Американское Самоа;AS 
214;Алжирская Народная Демократическая Республика;DZ 
215;Австрийская Республика;AT 
216;Антарктида;AQ 
217;Антигуа И Барбуда;AG 
218;Аруба;AW 
219;Барбадос;BB 
220;Государство Бахрейн;BH 
221;Белиз;BZ 
222;Босния И Герцеговина;BA 
223;Британская территория В индийском океане;IO 
224;Буркина - Фасо;BF 
225;Восточный Тимор;TP 
226;Гренада;GD 
227;Западная Сахара;EH 
228;Ирландия;IE 
229;Канада;CA 
230;Кирибати;KI 
231;Майотта;YT 
232;Малайзия;MY 
233;Монголия;MN 
234;Новая Зеландия;NZ 
235;Сент - Винсент И Гренадины;VC 
236;Сент - Люсия;LC 
237;Соломоновы острова;SB 
238;Тувалу;TV 
239;Центральноафриканская республика;CF 
240;Южно - Африканская республика;ZA 
241;Ямайка;JM 
242;Япония;JP 
243;Республика Южная Осетия;UO 
244;Республика Абхазия;AB 
333;Дальнее зарубежье;DZ 
