AB;895
AU;36
AT;40
AZ;31
AL;8
DZ;12
AS;16
AI;660
AO;24
AD;20
AQ;10
AG;28
AR;32
AM;51
AW;533
AF;4
BS;44
BD;50
BB;52
BH;48
BY;112
BZ;84
BE;56
BJ;204
BM;60
BG;100
BO;68
BA;70
BW;72
BR;76
IO;86
BN;96
BF;854
BI;108
BT;64
VU;548
HU;348
VE;862
VG;92
VI;850
TL;626
VN;704
GA;266
HT;332
GY;328
GM;270
GH;288
GP;312
GT;320
GN;324
GW;624
DE;276
GG;831
GI;292
HN;340
HK;344
GD;308
GL;304
GR;300
GE;268
GU;316
DK;208
JE;832
DJ;262
DM;212
DO;214
EG;818
ZM;894
EH;732
ZW;716
IL;376
IN;356
ID;360
JO;400
IQ;368
IR;364
IE;372
IS;352
ES;724
IT;380
YE;887
CV;132
KZ;398
KH;116
CM;120
CA;124
QA;634
KE;404
CY;196
KG;417
KI;296
CN;156
CC;166
CO;170
KM;174
CG;178
CD;180
K;408
KR;410
CR;188
CI;384
CU;192
KW;414
LA;418
LV;428
LS;426
LR;430
LB;422
LY;434
LT;440
LI;438
LU;442
MU;480
MR;478
MG;450
YT;175
MO;446
MK;807
MW;454
MY;458
ML;466
UM;581
MV;462
MT;470
MA;504
MQ;474
MH;584
MX;484
FM;583
MZ;508
MD;498
MC;492
MN;496
MS;500
MM;104
NA;516
NR;520
NP;524
NE;562
NG;566
NL;528
NI;558
NU;570
NZ;554
NC;540
NO;578
AE;784
OM;512
KY;136
CK;184
TC;796
BV;74
IM;833
NF;574
CX;162
HM;334
PK;586
PW;585
PS;275
PA;591
VA;336
PG;598
PY;600
PE;604
PN;612
PL;616
PT;620
PR;630
RE;638
RU;643
RW;646
RO;642
WS;882
SM;674
ST;678
SA;682
SZ;748
SH;654
MP;580
SC;690
BL;652
MF;663
SN;686
VC;670
KN;659
LC;662
PM;666
RS;688
SG;702
SY;760
SK;703
SI;705
GB;826
US;840
SB;90
SO;706
SD;736
SR;740
SL;694
TJ;762
TH;764
TW;158
TZ;834
TG;768
TK;772
TO;776
TT;780
TV;798
TN;788
TM;795
TR;792
UG;800
UZ;860
UA;804
WF;876
UY;858
FO;234
FJ;242
PH;608
FI;246
FK;238
FR;250
GF;254
PF;258
TF;260
HR;191
CF;140
TD;148
ME;499
CZ;203
CL;152
CH;756
SE;752
SJ;744
LK;144
EC;218
GQ;226
¿’;248
SV;222
ER;232
EE;233
ET;231
ZA;710
GS;239
OS;896
JM;388
JP;392
BQ;535
CW;531
SX;534
SS;728
M;000
UO;251
KP;896